Symbol,Company Name,Quant Rating,SA Analyst Ratings,Wall Street Ratings,Market Cap,Div Yield,Valuation,Growth,Profitability,Momentum,EPS Rev.
PNST,Pinstripes Holdings Inc.,Rating: Strong Sell1.03,Rating: Not Covered,Rating: Strong Buy5.00,39.21M,-,C+,B+,F,F,D-
PRPH,"ProPhase Labs, Inc.",Rating: Strong Sell1.03,Rating: Not Covered,Rating: Strong Buy5.00,18.38M,-,C+,D+,B,F,D-
RNLXY,Renalytix Plc,Rating: Strong Sell1.03,Rating: Not Covered,Rating: Strong Buy5.00,30.44M,-,D,A-,F,F,C
NKLA,Nikola Corporation,Rating: Strong Sell1.03,Rating: Sell2.00,Rating: Buy3.50,119.30M,-,B,C-,D-,F,C
IVVD,"Invivyd, Inc.",Rating: Strong Sell1.03,Rating: Not Covered,Rating: Buy4.20,80.65M,-,A-,D-,D+,F,D-
LEV,The Lion Electric Company,Rating: Strong Sell1.03,Rating: Not Covered,Rating: Hold2.57,45.16M,-,A-,D,D-,F,C-
CUTR,"Cutera, Inc.",Rating: Strong Sell1.03,Rating: Not Covered,Rating: Buy3.50,9.22M,-,C,D+,D+,F,F
HYZN,Hyzon Motors Inc.,Rating: Strong Sell1.03,Rating: Not Covered,Rating: Buy4.00,12.53M,-,B+,D+,F,F,B-
SPGC,"Sacks Parente Golf, Inc.",Rating: Strong Sell1.02,Rating: Not Covered,Rating: Not Covered,2.96M,-,B+,D+,F,F,D-
XPON,Expion360 Inc.,Rating: Strong Sell1.02,Rating: Not Covered,Rating: Not Covered,4.88M,-,B+,D+,D-,F,C+
SONN,"Sonnet BioTherapeutics Holdings, Inc.",Rating: Strong Sell1.02,Rating: Not Covered,Rating: Strong Buy5.00,2.20M,-,A-,F,D,F,F
MRNS,"Marinus Pharmaceuticals, Inc.",Rating: Strong Sell1.02,Rating: Not Covered,Rating: Buy3.60,17.92M,-,C,D,F,F,C-
BENF,Beneficient,Rating: Strong Sell1.02,Rating: Not Covered,Rating: Not Covered,4.61M,-,B-,A-,F,F,Rating: Not Covered
NTBLQ,"Notable Labs, Ltd.",Rating: Strong Sell1.02,Rating: Not Covered,Rating: Buy4.00,139.10K,-,A-,B+,C-,F,C+
EXROF,Exro Technologies Inc.,Rating: Strong Sell1.02,Rating: Not Covered,Rating: Buy3.80,56.70M,-,B-,B,F,F,F
GRTSQ,"Gritstone bio, Inc.",Rating: Strong Sell1.01,Rating: Not Covered,Rating: Buy4.00,3.80M,-,C,D-,C-,F,C
EDBL,Edible Garden AG Incorporated,Rating: Strong Sell1.01,Rating: Not Covered,Rating: Buy4.00,3.21M,-,A,C-,F,F,D
AILE,"iLearningEngines, Inc.",Rating: Strong Sell1.01,Rating: Not Covered,Rating: Strong Buy5.00,196.23M,-,A,B+,F,F,D
VMAR,Vision Marine Technologies Inc.,Rating: Strong Sell1.01,Rating: Not Covered,Rating: Strong Buy5.00,1.63M,-,B+,A-,F,F,C+
TRAW,"Traws Pharma, Inc.",Rating: Strong Sell1.01,Rating: Not Covered,Rating: Not Covered,14.35M,-,D,D-,F,F,C
NLSP,NLS Pharmaceutics AG,Rating: Strong Sell1.01,Rating: Not Covered,Rating: Hold3.00,6.20M,-,Rating: Not Covered,B+,F,D-,C
CNSP,"CNS Pharmaceuticals, Inc.",Rating: Strong Sell1.01,Rating: Not Covered,Rating: Buy4.00,5.72M,-,B+,B+,F,F,C
ZPTA,Zapata Computing Holdings Inc.,Rating: Strong Sell1.00,Rating: Not Covered,Rating: Strong Buy5.00,849.88K,-,A-,B-,F,F,C
BPTSY,Biophytis S.A.,Rating: Strong Sell1.00,Rating: Not Covered,Rating: Buy4.00,1.61M,-,Rating: Not Covered,B+,D,F,Rating: Not Covered
ZVSA,"ZyVersa Therapeutics, Inc.",Rating: Strong Sell1.00,Rating: Not Covered,Rating: Strong Buy5.00,1.15M,-,A-,Rating: Not Covered,D-,F,F
ALLR,"Allarity Therapeutics, Inc.",Rating: Strong Sell1.00,Rating: Not Covered,Rating: Hold3.00,4.92M,-,A-,Rating: Not Covered,F,F,C-
BNZI,"Banzai International, Inc.",Rating: Strong Sell1.00,Rating: Not Covered,Rating: Strong Buy5.00,8.65M,-,B,B,F,F,D
PRFX,PainReform Ltd.,Rating: Strong Sell1.00,Rating: Not Covered,Rating: Hold3.00,1.53M,-,Rating: Not Covered,B+,F,F,C
SLXN,Silexion Therapeutics Corp,Rating: Strong Sell1.00,Rating: Not Covered,Rating: Buy4.00,4.11M,-,Rating: Not Covered,Rating: Not Covered,Rating: Not Covered,F,Rating: Not Covered
GENN,"Genesis Healthcare, Inc.",Rating: Strong Sell1.00,Rating: Not Covered,Rating: Hold3.00,35.48K,-,Rating: Not Covered,Rating: Not Covered,Rating: Not Covered,F,Rating: Not Covered
